,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl,num_of_m,name_sp_sp_cl,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,zodiac,zodiac_sp,geo_distance ,sex,divorce
10,Amy Adams,1974-08-20,Darren Le Gallo ( m.  2015),1,,Actress,"Vicenza , Italy",,,,,,,44.71002142412233,,['Darren Le Gallo'],[2015],,,,,1.0,,['Darren Le Gallo'],1.0,,,1.0,,u205n7r,,7.0,,,F,0.0
11,Brooke Adams,1949-02-08,Tony Shalhoub  ( m.  1992),2,,Actress,"New York City , U.S.",1953-10-09,"Green Bay, Wisconsin , U.S.",Actor,Brooke Adams  ( m.  1992),2,-4.665393539908417,70.23826635728318,65.57287281737476,['Tony Shalhoub'],[1992],,['Brooke Adams'],[1992],,2.0,2.0,['Tony Shalhoub'],1.0,['Brooke Adams'],1.0,1.0,1.0,dr5regw,dpcmjpq,1.0,9.0,5003530.0,F,0.0
12,Edie Adams,1927-04-16,Ernie Kovacs ( m.  1954; died 1962) Martin Mills ( m.  1964;  div.  1971) Pete Candoli ( m.  1972;  div.  1988),2,,"Businesswoman, singer, actress, comedienne","Kingston, Pennsylvania , U.S.",,,,,,,92.05664729597459,,"['Ernie Kovacs', 'Martin Mills', 'Pete Candoli']","[1954, 1964, 1972]","[1971, 1988]",,,,2.0,,"['Ernie Kovacs', 'Martin Mills', 'Pete Candoli']",3.0,,,4.0,,dr648zm,,3.0,,,F,1.0
13,Jane Adams,1965-04-01,,,"University of Washington, SeattleCornish College of the ArtsJuilliard School (BFA)",Actress,"Washington, D.C. , U.S.",,,,,,,54.095566644078936,,,,,,,,,,,,,,1.0,,dqcjqfz,,3.0,,,F,
14,Joey Lauren Adams,1968-01-09,"Beverly Hills ,  California , U.S.",,,"Actress, director","North Little Rock, Arkansas , U.S.",,,,,,,51.32206684599957,,,,,,,,,,,,,,2.0,,9ynmu3t,,0.0,,,F,
15,Julie Adams,1926-10-17,Leonard Stern ( m.  1951;  div.  1953) Ray Danton ( m.  1954;  div.  1981),2,,Actress,"Waterloo, Iowa , U.S.",,"New York City , U.S.","Publisher, director, writer, producer",Julie Adams ( m.  1951;  div.  1953) Gloria Stroock  ( m.  1956),2,,92.55220846423951,,"['Leonard Stern', 'Ray Danton']","[1951, 1954]","[1953, 1981]","['Julie Adams', 'Gloria Stroock']","[1951, 1956]",[1953],2.0,2.0,"['Leonard Stern', 'Ray Danton']",2.0,"['Julie Adams', 'Gloria Stroock']",2.0,1.0,4.0,9zw3dxw,dr5regw,9.0,,20000000.0,F,1.0
16,Lillian Adams,1922-05-13,,,,Actress,"New York City , U.S.",,,,,,,96.98214200154692,,,,,,,,,,,,,,1.0,,dr5regw,,4.0,,,F,
17,Shohreh Aghdashloo,1952-05-11,Aydin Aghdashloo ( m.  1972;  div.  1979) Houshang Touzie  ( m.  1987),1,,Actress,"Tehran ,  Iran",1940-10-30,"Rasht , Iran",Painter art historian art critic,"
 Shohreh Aghdashloo ( m.  1972;  div.  1979) 
 Firouzeh Athari  ( m.  1981) 
",2,11.529326406428606,66.98563283298083,78.51495923940944,"['Aydin Aghdashloo', 'Houshang Touzie']","[1972, 1987]",[1979],"['Shohreh Aghdashloo', 'Firouzeh Athari']","[1972, 1981]",[1979],1.0,2.0,"['Aydin Aghdashloo', 'Houshang Touzie']",2.0,"['Shohreh Aghdashloo', 'Firouzeh Athari']",2.0,1.0,5.0,tnke13h,tnek02m,4.0,10.0,625441.0,F,1.0
18,Dianna Agron,1986-04-30,Winston Marshall  ( m.  2016),,,"
 Actress 
 singer 
 dancer 
","Savannah, Georgia , U.S.",,,,,,,33.01642059727441,,['Winston Marshall'],[2016],,,,,,,['Winston Marshall'],1.0,,,3.0,,djwqd8p,,4.0,,,F,0.0
19,Christina Aguilera,1980-12-18,"Los Angeles ,  California , U.S.",2,,Singer songwriter actress television personality,"New York City ,  New York , U.S.",,,,,,,38.3799804239649,,,,,,,,2.0,,,,,,5.0,,dr5regw,,11.0,,,F,
20,Lexi Ainsworth,1992-10-28,,,,Actress,"Oklahoma City, Oklahoma , U.S.",,,,,,,26.519367269690687,,,,,,,,,,,,,,1.0,,9y69ubw,,10.0,,,F,
21,Jessica Alba,1981-04-28,"Los Angeles, California , U.S.",3,,"Actress, businesswoman","Pomona, California , U.S.",,,,,,,38.02131460604941,,,,,,,,3.0,,,,,,2.0,,9qh38x9,,4.0,,,F,
22,Lola Albright,1924-07-20,Warren Dean ( m.  1944;  div.  1949) Jack Carson ( m.  1952;  div.  1958) Bill Chadney ( m.  1961;  div.  1975),,,"Actress, singer, model","Akron, Ohio , U.S.",,,,,,,94.7945543029631,,"['Warren Dean', 'Jack Carson', 'Bill Chadney']","[1944, 1952, 1961]","[1949, 1958, 1975]",,,,,,"['Warren Dean', 'Jack Carson', 'Bill Chadney']",3.0,,,3.0,,dpq18yx,,6.0,,,F,1.0
23,Erika Alexander,1969-11-19,Tony Puryear ( m.  1997;  div.  2017),,Philadelphia High School for Girls,Actress,"Winslow, Arizona , U.S.",,,,,,,49.46029008124739,,['Tony Puryear'],[1997],[2017],,,,,,['Tony Puryear'],1.0,,,1.0,,9w1r1pb,,10.0,,,F,1.0
24,Jaimie Alexander,1984-03-12,,,,Actress,"Greenville, South Carolina , U.S.",,,,,,,35.14925015571846,,,,,,,,,,,,,,1.0,,dnjqm0d,,2.0,,,F,
25,Khandi Alexander,1957-09-04,,,,"Actress, dancer, choreographer","Jacksonville ,  Florida , U.S.",,,,,,,61.668617425409145,,,,,,,,,,,,,,3.0,,djmutcu,,8.0,,,F,
26,,1973-05-17,,2,,Actress,,,,,,,,45.96945864733704,,,,,,,,2.0,,,,,,1.0,,,,4.0,,,F,
27,Tatyana Ali,1979-01-24,Harvard University   (2002),1,,"Actress, singer","North Bellmore ,  Long Island, New York , U.S.",,,,,,,40.280087886814925,,,,,,,,1.0,,,,,,2.0,,dr5xqge,,1.0,,,F,
28,Ana Alicia,1956-12-12,Gary R. Benz ( m.  1994;  div.  2016),2,,"Actress, singer, producer","Mexico City , Mexico [1]",,,,,,,62.39690068926809,,['Gary R Benz'],[1994],[2016],,,,2.0,,['Gary R Benz'],1.0,,,3.0,,9g3w966,,11.0,,,F,1.0
29,Debbie Allen,1950-01-16,Win Wilford ( m.  1975–1983) Norm Nixon  ( m.  1984),,Howard University,"Actress, choreographer, dancer, film director, television director, television producer","Houston, Texas , U.S.",,,,,,,69.3019021608931,,"['Win Wilford', 'Norm Nixon']","[1975, 1984]",,,,,,,"['Win Wilford', 'Norm Nixon']",2.0,,,9.0,,9vk1mc9,,0.0,,,F,1.0
30,Elizabeth Allen,1929-01-25,Baron Karl von Vietinghoff-Scheel ( m.  1952;  div.  1955),,,Actress,"Jersey City, New Jersey , U.S.",,,,,,,90.27700774143206,,['Baron Karl von Vietinghoff Scheel'],[1952],[1955],,,,,,['Baron Karl von Vietinghoff Scheel'],1.0,,,1.0,,dr5reh7,,1.0,,,F,1.0
31,Joan Allen,1956-08-20,Peter Friedman ( m.  1990;  div.  2002),1,,Actress,"Rochelle, Illinois , U.S.",1949-04-24,"New York City, New York , U.S.",Actor,Joan Allen ( m.  1990;  div.  2002),1,7.323901243694258,62.70902208806478,70.03292333175904,['Peter Friedman'],[1990],[2002],['Joan Allen'],[1990],[2002],1.0,1.0,['Peter Friedman'],1.0,['Joan Allen'],1.0,1.0,1.0,dp2wt0n,dr5regw,7.0,4.0,5003530.0,F,1.0
32,Karen Allen,1951-10-05,Kale Browne ( m.  1988;  div.  1998),1,,Actress,"Carrollton, Illinois , U.S.",1949-06-16,"San Rafael, California , U.S.",Actor,Karen Allen ( m.   1988 ;  div.  1998),1,2.302579792877335,67.58523446751131,69.88781426038865,['Kale Browne'],[1988],[1998],['Karen Allen'],[1988],[1998],1.0,1.0,['Kale Browne'],1.0,['Karen Allen'],1.0,1.0,1.0,9yzxwdz,9qbb58z,9.0,5.0,5003530.0,F,1.0
33,Krista Allen,1971-04-05,Justin Moritt ( m.  1996;  div.  1999)  1 son Mams Taylor ( m.  2010;  div.  2012),1,,"
 Actress 
 model 
","Ventura, California , U.S.",,,,,,,48.08586076373916,,"['Justin Moritt', '1 son Mams Taylor']","[1996, 2010]","[1999, 2012]",,,,1.0,,"['Justin Moritt', '1 son Mams Taylor']",2.0,,,2.0,,9q55j2s,,3.0,,,F,1.0
34,Laura Allen,1974-03-21,Bruce Weyman ( m.  2006),2,,Actress,"Portland, Oregon , U.S.",,,,,,,45.12618328918458,,['Bruce Weyman'],[2006],,,,,2.0,,['Bruce Weyman'],1.0,,,1.0,,c20fbmg,,3.0,,,F,0.0
35,Nancy Allen,1950-06-24,Brian De Palma ( m.  1979;  div.  1984) Craig Shoemaker ( m.  1992;  div.  1993) Randy Bailey ( m.  1998;  div.  2007),,High School of Performing Arts,Actress,"The Bronx ,  New York City , U.S.",1940-09-11,"Newark, New Jersey , U.S.","Film director, screenwriter",Nancy Allen ( m.  1979;  div.  1983) Gale Anne Hurd ( m.  1991;  div.  1993) Darnell Gregorio ( m.  1995;  div.  1997),2,9.782541735969938,68.86657494678194,78.64911668275187,"['Brian De Palma', 'Craig Shoemaker', 'Randy Bailey']","[1979, 1992, 1998]","[1984, 1993, 2007]","['Nancy Allen', 'Gale Anne Hurd', 'Darnell Gregorio']","[1979, 1991, 1995]","[1983, 1993, 1997]",,2.0,"['Brian De Palma', 'Craig Shoemaker', 'Randy Bailey']",3.0,"['Nancy Allen', 'Gale Anne Hurd', 'Darnell Gregorio']",3.0,1.0,3.0,dr72r5t,dr5r8pt,6.0,8.0,625441.0,F,1.0
36,Kirstie Alley,1951-01-12,Bob Alley ( m.  1970;  div.  1977) Parker Stevenson ( m.  1983;  div.  1997),2,,"Actress, spokesmodel","Wichita, Kansas , U.S.",,,,,,,68.31351773137025,,"['Bob Alley', 'Parker Stevenson']","[1970, 1983]","[1977, 1997]",,,,2.0,,"['Bob Alley', 'Parker Stevenson']",2.0,,,2.0,,9ydy3hw,,0.0,,,F,1.0
37,Jamie Anne Allman,,Marshall Allman  ( m.  2006),3,,Actress,"Parsons, Kansas , U.S.",1984-04-05,"Austin, Texas , U.S.",Actor,Jamie Anne Brown  ( m.  2006),3,,,35.083540387550734,['Marshall Allman'],[2006],,['Jamie Anne Brown'],[2006],,3.0,3.0,['Marshall Allman'],1.0,['Jamie Anne Brown'],1.0,1.0,1.0,9ysk2m8,9v6kpvc,,3.0,5003530.0,F,0.0
38,June Allyson,1917-10-07,Dick Powell ( m.  1945; died 1963) Alfred Glenn Maxwell ( m.  1963;  div.  1965) ( m.  1966;  div.  1970) David Ashrow  ( m.  1976),2,,"Actress, dancer, singer","The Bronx , New York, U.S.",1904-11-14,"Mountain View, Arkansas , U.S.","Actor, singer, producer, director","Actor, singer, producer, director",4,12.895542002915871,101.57908786628062,114.47462986919649,"['Dick Powell', 'Alfred Glenn Maxwell', '', 'David Ashrow']","[1945, 1963, 1966, 1976]","[1965, 1970]",,,,2.0,4.0,"['Dick Powell', 'Alfred Glenn Maxwell', '', 'David Ashrow']",4.0,,,3.0,4.0,dr72r5t,9yqkpc9,9.0,10.0,20000000.0,F,1.0
39,Daniella Alonso,1978-09-22,"Actress, fashion model",,,"Actress, fashion model","New York City , U.S.",,,,,,,40.6195883556815,,,,,,,,,,,,,,3.0,,dr5regw,,8.0,,,F,
40,Trini Alvarado,1967-01-10,Robert McNeill,,,Actress,"New York City , U.S.",,,,,,,52.31866499654339,,,,,,,,,,,,,,1.0,,dr5regw,,0.0,,,F,
41,,1978-02-20,,2,,"Actress, singer",,,,,,,,41.20550045517704,,,,,,,,2.0,,,,,,2.0,,,,2.0,,,F,
42,Mädchen Amick,1970-12-12,David Alexis ( m.  1992),2,,"Actress, director, writer","Sparks, Nevada , U.S.",,,,,,,48.39798216253585,,['David Alexis'],[1992],,,,,2.0,,['David Alexis'],1.0,,,3.0,,9r4bfvn,,11.0,,,F,0.0
43,Suzy Amis Cameron,1962-01-05,Sam Robards ( m.  1986;  div.  1994) James Cameron  ( m.  2000),4,,"Actress,  model","Oklahoma City ,  Oklahoma , U.S.",1961-12-16,"New York City , U.S.",Actor,Suzy Amis Cameron ( m.  1986;  div.  1994) Sidsel Jensen  ( m.  1997),3,0.05475814013977015,57.33177272633935,57.38653086647912,"['Sam Robards', 'James Cameron']","[1986, 2000]",[1994],"['Suzy Amis Cameron', 'Sidsel Jensen']","[1986, 1997]",[1994],4.0,3.0,"['Sam Robards', 'James Cameron']",2.0,"['Suzy Amis Cameron', 'Sidsel Jensen']",2.0,2.0,1.0,9y69ubw,dr5regw,0.0,11.0,20000000.0,F,1.0
44,Eva Amurri Martino,1985-03-15,Kyle Martino  ( m.  2011),2,,Actress,"New York City, New York , U.S.",,,,,,,34.14170037714669,,['Kyle Martino'],[2011],,,,,2.0,,['Kyle Martino'],1.0,,,1.0,,dr5regw,,2.0,,,F,0.0
45,Kristina Anapau,1979-10-30,,,,"Actress, writer","Hawaii , U.S.",,,,,,,39.51621183186513,,,,,,,,,,,,,,2.0,,8e935wh,,10.0,,,F,
46,Andrea Anders,1975-05-10,Matt LeBlanc  (2006–2015),,,Actress,"Madison, Wisconsin , U.S.",,,,,,,43.989951881284355,,,,,,,,,,,,,,1.0,,dp8mj9h,,4.0,,,F,
47,Gillian Anderson,1968-08-09,Clyde Klotz ( m.  1994;  div.  1997) Julian Ozanne ( m.  2004;  div.  2006),3,DePaul University (BFA),"Actress, writer, producer, director","Chicago ,  Illinois , U.S.",1961-06-08,Canada,"Art director, production designer",Gillian Anderson ( m.  1994;  div.  1997),1,7.170578451302902,50.73889265351102,57.909471104813925,"['Clyde Klotz', 'Julian Ozanne']","[1994, 2004]","[1997, 2006]",['Gillian Anderson'],[1994],[1997],3.0,1.0,"['Clyde Klotz', 'Julian Ozanne']",2.0,['Gillian Anderson'],1.0,4.0,4.0,dp3wjzt,c9urk40,7.0,5.0,20000000.0,F,1.0
48,Loni Anderson,1945-08-05,Bruce Hasselberg ( m.  1964;  div.  1966) Ross Bickell ( m.  1973;  div.  1981) Burt Reynolds ( m.  1988;  div.  1993) Bob Flick  ( m.  2008),2,,Actress,"Saint Paul ,  Minnesota , U.S.",,,,,,,73.75100104724943,,"['Bruce Hasselberg', 'Ross Bickell', 'Burt Reynolds', 'Bob Flick']","[1964, 1973, 1988, 2008]","[1966, 1981, 1993]",,,,2.0,,"['Bruce Hasselberg', 'Ross Bickell', 'Burt Reynolds', 'Bob Flick']",4.0,,,1.0,,9zvz9xt,,7.0,,,F,1.0
49,Mary Anderson,1918-04-03,Leonard M. Behrens ( m.  1940;  div.  1950) Leon Shamroy ( m.  1953; died 1974),1,,Actress,"Birmingham, Alabama , U.S.",,,,,,,101.09174041903667,,"['Leonard M Behrens', 'Leon Shamroy']","[1940, 1953]",[1950],,,,1.0,,"['Leonard M Behrens', 'Leon Shamroy']",2.0,,,1.0,,djfq8tf,,3.0,,,F,1.0
50,Melody Anderson,1955-12-03,,,Carleton University (BA) New York University (MSW),"Actress ,  social worker ,  public speaker","Edmonton, Alberta , Canada",,,,,,,63.42361581688878,,,,,,,,,,,,,,7.0,,c3x297q,,11.0,,,F,
51,Nicole Gale Anderson,1990-08-29,,,,Actress,"Rochester, Indiana , U.S.",,,,,,,28.685051712218595,,,,,,,,,,,,,,1.0,,dp69w5e,,8.0,,,F,
52,Jennifer Aniston,1969-02-11,Brad Pitt ( m.  2000;  div.  2005) Justin Theroux ( m.  2015;  sep.  2017),,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Actress film producer businesswoman,"Sherman Oaks, California , U.S.",1963-12-18,"Shawnee, Oklahoma , U.S.",Actor film producer,Jennifer Aniston ( m.  2000;  div.  2005) Angelina Jolie ( m.  2014;  div.  2019),6,5.152740987152371,50.22964195021116,55.38238293736353,"['Brad Pitt', 'Justin Theroux']","[2000, 2015]","[2005, 2017]","['Jennifer Aniston', 'Angelina Jolie']","[2000, 2014]","[2005, 2019]",,6.0,"['Brad Pitt', 'Justin Theroux']",2.0,"['Jennifer Aniston', 'Angelina Jolie']",2.0,4.0,3.0,9q5f28d,9y70frj,1.0,11.0,5003530.0,F,1.0
53,Odette Annable,1985-05-10,Dave Annable  ( m.   2010 ),1,,Actress,"Los Angeles ,  California , U.S.",1979-09-15,"Suffern, New York , U.S.",Actor,Odette Annable  ( m.  2010),1,5.65104006242428,33.988377584755334,39.63941764717961,['Dave Annable'],[2010],,['Odette Annable'],[2010],,1.0,1.0,['Dave Annable'],1.0,['Odette Annable'],1.0,1.0,1.0,9q5ctr1,dr73bst,4.0,8.0,20000000.0,F,0.0
54,Susan Anton,1950-10-12,Jack Stein ( m.  1975;  div.  1980) Jeff Lester  ( m.  1992),,,"Actress, singer","Oak Glen, California , U.S.",,,,,,,68.5654051760132,,"['Jack Stein', 'Jeff Lester']","[1975, 1992]",[1980],,,,,,"['Jack Stein', 'Jeff Lester']",2.0,,,2.0,,9qhcdy9,,9.0,,,F,1.0
55,Shiri Appleby,1978-12-07,Jon Shook ( m.  2013),2,,"Actress, director","Los Angeles ,  California , U.S.",,,,,,,40.411507423150375,,['Jon Shook'],[2013],,,,,2.0,,['Jon Shook'],1.0,,,2.0,,9q5ctr1,,11.0,,,F,0.0
56,Christina Applegate,1971-11-25,Johnathon Schaech ( m.  2001;  div.  2007) Martyn LeNoble  ( m.  2013),1,,Actress,"Hollywood ,  California , U.S.",1969-09-10,"Edgewood, Maryland , U.S.","
 Actor 
 writer 
 producer 
",Christina Applegate ( m.  2001;  div.  2007) Jana Kramer ( m.  2010;  div.  2011) Julie Solomon  ( m.  2013),1 (with Solomon),2.2067530476327373,47.44519052410385,49.65194357173659,"['Johnathon Schaech', 'Martyn LeNoble']","[2001, 2013]",[2007],"['Christina Applegate', 'Jana Kramer', 'Julie Solomon']","[2001, 2010, 2013]","[2007, 2011]",1.0,1.0,"['Johnathon Schaech', 'Martyn LeNoble']",2.0,"['Christina Applegate', 'Jana Kramer', 'Julie Solomon']",3.0,1.0,3.0,9q5cgq7,dr18pzu,11.0,8.0,20000000.0,F,1.0
57,Anne Archer,1947-08-24,William Davis (1969–1977) Terry Jastrow (1979–present),Jeffrey Tucker Jastrow (b. 1984) Tommy Davis,,Actress,"Los Angeles, California , U.S.",,,,,,,71.70030869901504,,,,,,,,,,,,,,1.0,,9q5ctr1,,8.0,,,F,
58,Beverly Archer,1948-07-19,Robert Bernard ( m.  1976),,,,"Oak Park, Illinois , U.S.",,,,,,,70.79679938670883,,['Robert Bernard'],[1976],,,,,,,['Robert Bernard'],1.0,,,,,dp3w62v,,6.0,,,F,0.0
59,Eve Arden,1908-04-30,Ned Bergen ( m.  1939;  div.  1947) Brooks West ( m.  1952; died 1984),4,,Actress,"Mill Valley, California , U.S.",,,,,,,111.01665331937001,,"['Ned Bergen', 'Brooks West']","[1939, 1952]",[1947],,,,4.0,,"['Ned Bergen', 'Brooks West']",2.0,,,1.0,,9q8zekt,,4.0,,,F,1.0
60,Ashley Argota,1993-01-09,,,,"Actress, singer","Redlands, California , U.S.",,,,,,,26.319500058180523,,,,,,,,,,,,,,2.0,,9qh9trw,,0.0,,,F,
61,Jillian Armenante,1968-07-05,Alice Dodd,2,,Actress,"Paterson, New Jersey , U.S.",,,,,,,50.834719398755624,,,,,,,,2.0,,,,,,1.0,,dr72b0t,,6.0,,,F,
62,Bess Armstrong,1953-12-11,Chris Carreras ( m.  1983;  div.  1984) John Fiedler  ( m.  1985),3,,Actress,"Baltimore ,  Maryland , U.S.",,,,,,,65.40038467593448,,"['Chris Carreras', 'John Fiedler']","[1983, 1985]",[1984],,,,3.0,,"['Chris Carreras', 'John Fiedler']",2.0,,,1.0,,dqcx88s,,11.0,,,F,1.0
63,Samaire Armstrong,1980-10-31,,1,,Actress,"Tokyo, Japan",,,,,,,38.511399960300345,,,,,,,,1.0,,,,,,1.0,,xn76cyd,,10.0,,,F,
64,Alexis Arquette,1969-07-28,,,,"Actress, musician, singer,  cartoonist","Los Angeles ,  California , U.S.",,,,,,,49.77241148004408,,,,,,,,,,,,,,4.0,,9q5ctr1,,7.0,,,F,
65,Patricia Arquette,1968-04-08,Nicolas Cage ( m.  1995;  div.  2001) Thomas Jane ( m.  2006;  div.  2011),2,,Actress,"Chicago ,  Illinois , U.S.",1964-01-07,"Long Beach, California , U.S.","Actor, director, producer",Patricia Arquette ( m.  1995;  div.  2001) Lisa Marie Presley ( m.  2002;  div.  2004) Alice Kim ( m.  2004;  div.  2016) Erika Koike ( m.  2019;  sep.  2019),2,4.251969581853152,51.07565521537061,55.32762479722376,"['Nicolas Cage', 'Thomas Jane']","[1995, 2006]","[2001, 2011]","['Patricia Arquette', 'Lisa Marie Presley', 'Alice Kim', 'Erika Koike']","[1995, 2002, 2004, 2019]","[2001, 2004, 2016, 2019]",2.0,2.0,"['Nicolas Cage', 'Thomas Jane']",2.0,"['Patricia Arquette', 'Lisa Marie Presley', 'Alice Kim', 'Erika Koike']",4.0,1.0,3.0,dp3wjzt,9q5bn7t,3.0,0.0,20000000.0,F,1.0
66,Rosanna Arquette,1959-08-10,Anthony Greco ( m.  1979;  div.  1980) James Newton Howard ( m.  1986;  div.  1987) John Sidel ( m.  1993;  div.  1999) Todd Morgan  ( m.  2013),1,,"Actress, film director, film producer","New York City , U.S.",,,,,,,59.73839298548225,,"['Anthony Greco', 'James Newton Howard', 'John Sidel', 'Todd Morgan']","[1979, 1986, 1993, 2013]","[1980, 1987, 1999]",,,,1.0,,"['Anthony Greco', 'James Newton Howard', 'John Sidel', 'Todd Morgan']",4.0,,,5.0,,dr5regw,,7.0,,,F,1.0
67,Beatrice Arthur,1922-05-13,Linden Hall School for Girls Blackstone College for Girls Franklin Institute The New School,2,,"Actress, comedienne, singer, activist","Brooklyn ,  New York City , U.S.",1922-06-10,United States,"Producer ,  screenwriter ,  film director",Bea Arthur ( m.  1947;  div.  1950),,-0.07666139619567822,96.98214200154692,96.90548060535124,,,,['Bea Arthur'],[1947],[1950],2.0,,,,['Bea Arthur'],1.0,4.0,6.0,dr5rmm5,9yegjbp,4.0,5.0,20000000.0,F,
68,Jean Arthur,1900-10-17,Julian Anker ( m.  1928–1928) Frank Ross Jr. ( m.  1932;  div.  1949),,,Actress,"Plattsburgh, New York , U.S.",,,,,,,118.55137340260238,,"['Julian Anker', 'Frank Ross Jr']","[1928, 1932]",[1949],,,,,,"['Julian Anker', 'Frank Ross Jr']",2.0,,,1.0,,drgy293,,9.0,,,F,1.0
